date,open,high,low,close,volume
2015-01-02,190.5721,191.0338,188.5406,189.6949,121465865
2015-01-05,188.5314,188.7161,185.9274,186.2691,169632646
2015-01-06,186.6107,187.1925,183.6235,184.5146,209151408
2015-01-07,185.992,187.1925,185.4934,186.8139,125346709
2015-01-08,188.3836,190.369,188.3652,190.1289,147217784
2015-01-09,190.5906,190.6091,187.9219,188.6053,158567288
2015-01-12,188.753,188.9285,186.4537,187.1278,144396067
2015-01-13,188.4852,189.7411,185.1517,186.6015,214553306
2015-01-14,184.3576,185.6965,183.3603,185.4749,192991092
2015-01-15,186.1859,186.5368,183.6466,183.7758,176613906
2015-01-16,183.545,186.3614,183.3419,186.1859,211879605
2015-01-20,186.897,187.1925,184.8378,186.5784,130991069
2015-01-21,186.0659,188.0605,185.5488,187.5249,122942707
2015-01-22,188.3652,190.4613,186.8323,190.3136,174356029
2015-01-23,190.0273,190.3136,189.1224,189.2701,117516753
2015-01-26,189.03,189.8149,188.2359,189.7133,92009711
2015-01-27,187.4233,188.4852,186.2875,187.2109,134044598
2015-01-28,188.5314,188.6422,184.5977,184.8101,168514312
2015-01-29,185.0317,186.8046,183.4619,186.5186,173585424
2015-01-30,185.2071,186.6846,183.8774,184.1729,197729724
2015-02-02,184.727,186.5553,182.7047,186.4537,163106969
2015-02-03,187.451,189.1593,187.0355,189.1501,124212881
2015-02-04,188.3005,189.6487,187.9219,188.4298,134306728
2015-02-05,189.1685,190.4982,189.0854,190.332,97953181
2015-02-06,190.7383,191.3662,189.2239,189.8057,125672026
2015-02-09,189.0854,189.8888,188.4991,188.9562,87219016
2015-02-10,190.1104,191.2554,189.0024,190.9692,96164183
2015-02-11,190.7845,191.5602,190.0642,191.08,91087785
2015-02-12,191.9665,192.9822,191.1194,192.9176,97545949
2015-02-13,193.0561,193.7671,192.7698,193.7117,93670430
2015-02-17,193.3608,194.2103,193.0838,194.0164,76968199
2015-02-18,193.6009,194.118,193.3055,194.0349,80652941
2015-02-19,193.37,194.3027,193.2131,193.8964,91462491
2015-02-20,193.4347,195.143,192.7421,195.0589,140896392
2015-02-23,194.7828,195.0322,194.3581,195.0312,74411054
2015-02-24,194.949,195.8078,194.6166,195.5862,72472263
2015-02-25,195.4477,195.9833,195.0414,195.42,73061687
2015-02-26,195.3184,195.4939,194.5151,195.1891,72697868
2015-02-27,195.0783,195.3738,194.4689,194.5243,108075972
2015-03-02,194.6351,195.817,194.5797,195.7524,87491428
2015-03-03,195.2722,195.8115,193.9887,194.949,110325809
2015-03-04,194.2842,194.3673,193.0468,194.1273,114497192
2015-03-05,194.4873,194.6536,193.7763,194.3396,76872957
2015-03-06,193.3793,193.8594,191.237,191.6063,188127982
2015-03-09,191.8279,192.7975,191.6487,192.4005,89818893
2015-03-10,190.8768,190.9692,189.2332,189.2794,157121263
2015-03-11,189.5656,189.7595,188.7438,188.8361,110145718
2015-03-12,189.5379,191.3062,189.4825,191.237,93993523
2015-03-13,190.9322,192.0069,188.91,190.0617,162410893
2015-03-16,190.8768,192.7052,190.0957,192.6036,136099192
2015-03-17,191.7818,192.4559,191.1262,192.0311,94510422
2015-03-18,191.5048,195.0876,190.7937,194.3396,228808524
2015-03-19,193.8779,194.3486,193.0191,193.4531,117917302
2015-03-20,194.5113,195.7263,194.3075,195.1605,177715081
2015-03-23,195.1698,195.8098,194.7802,194.7802,71784536
2015-03-24,194.6411,195.1513,193.6116,193.6858,77805321
2015-03-25,193.9176,194.1774,190.8012,190.8475,159521708
2015-03-26,190.1055,191.4133,189.3264,190.3931,153067241
2015-03-27,190.2632,191.0238,190.0499,190.829,118938966
2015-03-30,191.9791,193.491,191.9606,193.1571,96180365
2015-03-31,192.2388,193.0179,191.4041,191.469,126768703
2015-04-01,191.4319,191.4597,189.6881,190.7919,137303584
2015-04-02,190.7177,191.9791,190.5136,191.4736,86900906
2015-04-06,190.4858,193.3426,190.3374,192.7675,114368155
2015-04-07,192.7907,193.6301,192.2203,192.2574,81236337
2015-04-08,192.5078,193.3982,192.0719,192.902,89351939
2015-04-09,192.7211,194.0197,192.1739,193.76,85548854
2015-04-10,194.0382,194.8637,193.8156,194.8173,72722915
2015-04-13,194.6597,195.3646,193.8805,193.9362,74436594
2015-04-14,193.7136,194.5113,193.0179,194.3072,75099866
2015-04-15,194.8266,195.7449,194.7339,195.1791,99529320
2015-04-16,194.8081,195.6892,194.5881,195.1234,68934864
2015-04-17,193.7971,194.0661,192.0069,192.8788,191113230
2015-04-20,193.9084,195.0121,193.8156,194.6411,92189481
2015-04-21,195.4017,195.5779,194.0753,194.4092,72559831
2015-04-22,194.7895,195.5686,193.76,195.3646,78264616
2015-04-23,194.9194,196.5796,194.7895,195.8562,102585942
2015-04-24,196.3199,196.6075,195.8098,196.3106,61327387
2015-04-27,196.9414,197.0805,195.2811,195.4944,79358126
2015-04-28,195.4666,196.1715,194.1589,196.1159,86863531
2015-04-29,195.1234,195.9768,194.4092,195.3089,125684903
2015-04-30,194.6689,195.1049,192.5727,193.3519,161304890
2015-05-01,194.2237,195.4944,194.1124,195.4481,103399711
2015-05-04,195.9211,196.6538,195.8005,196.0046,70927235
2015-05-05,195.7356,196.1344,193.6023,193.76,113326156
2015-05-06,194.3721,194.7153,191.7751,192.9623,135060151
2015-05-07,192.851,194.2052,192.48,193.7321,88244940
2015-05-08,195.5965,196.5054,195.5037,196.2828,155877260
2015-05-11,196.2365,196.5333,195.2626,195.3414,75708065
2015-05-12,194.4185,195.3646,193.5003,194.7617,119727592
2015-05-13,195.2162,195.9118,194.5391,194.7988,94667943
2015-05-14,195.9304,196.9321,195.6243,196.8301,95934006
2015-05-15,197.0434,197.2011,196.5054,197.0434,76510099
2015-05-18,196.8579,197.9338,196.7837,197.6556,74549685
2015-05-19,197.7854,198.0915,197.2753,197.5906,72114610
2015-05-20,197.702,198.2863,197.1028,197.4515,76857530
2015-05-21,197.2938,198.2585,197.1083,198.0266,64764585
2015-05-22,197.5999,198.0637,197.4793,197.5535,57433495
2015-05-26,197.0063,197.4783,194.9658,195.4295,124308584
2015-05-27,195.9397,197.5443,195.4863,197.2846,93213981
2015-05-28,196.9414,197.1825,196.2921,197.062,74974560
2015-05-29,196.9878,197.0341,195.5408,195.8376,124919611
2015-06-01,196.5796,196.9507,195.3553,196.2365,93338750
2015-06-02,195.7263,196.8115,195.0307,196.0417,91531012
2015-06-03,196.6353,197.2567,196.0139,196.5611,87820909
2015-06-04,195.7727,196.5045,194.5484,194.9001,151882820
2015-06-05,194.7339,195.3182,193.8342,194.5669,121704676
2015-06-08,194.4463,194.6133,193.2869,193.3704,89063330
2015-06-09,193.3426,193.9455,192.6377,193.3426,105034690
2015-06-10,194.1959,196.0881,194.1298,195.6614,134551285
